customer,state,response,coverage,education,employment_status,location_code,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
IL19217,California,Yes,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Agent,Normal Car,Small
SR38658,Arizona,No,Basic,High School or Below,Employed,Suburban,Married,Personal,Offer4,Agent,Medium-Class Car,Medsize
DH41343,Washington,No,Basic,Bachelor or College,Employed,Suburban,Married,Special,Offer2,Call Center,Normal Car,Large
HG65722,Oregon,No,Premium,Doctor or Master,Other status,Rural,Married,Personal,Offer1,Branch,Medium-Class Car,Medsize
BU27331,Arizona,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer3,Call Center,Normal Car,Medsize
XM45289,Oregon,No,Basic,High School or Below,Employed,Suburban,Single,Personal,Offer4,Agent,Normal Car,Medsize
KP34198,California,No,Extended,Bachelor or College,Unemployed,Suburban,Married,Corporate,Offer2,Call Center,Normal Car,Medsize
SH90947,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Married,Personal,Offer4,Branch,Normal Car,Medsize
WE95729,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Agent,Medium-Class Car,Small
PY51963,California,Yes,Basic,Bachelor or College,Employed,Suburban,Divorced,Corporate,Offer1,Web,Medium-Class Car,Medsize
RB69909,Nevada,No,Basic,High School or Below,Employed,Rural,Married,Special,Offer4,Branch,Normal Car,Medsize
XR95069,Washington,No,Basic,Bachelor or College,Employed,Suburban,Single,Personal,Offer4,Agent,Normal Car,Medsize
FR46645,California,No,Premium,Bachelor or College,Other status,Suburban,Married,Personal,Offer1,Branch,Normal Car,Small
SY17488,Arizona,No,Extended,Bachelor or College,Employed,Suburban,Divorced,Corporate,Offer3,Call Center,Normal Car,Small
AP67935,California,No,Basic,Bachelor or College,Employed,Urban,Married,Special,Offer2,Branch,Normal Car,Medsize
FS37417,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Married,Personal,Offer1,Call Center,Medium-Class Car,Small
ML29312,Oregon,No,Extended,High School or Below,Other status,Suburban,Divorced,Personal,Offer1,Call Center,Medium-Class Car,Medsize
UB61619,Oregon,No,Premium,Doctor or Master,Other status,Suburban,Divorced,Personal,Offer1,Agent,Normal Car,Medsize
CD86811,Arizona,Yes,Basic,Bachelor or College,Other status,Suburban,Divorced,Personal,Offer1,Agent,Normal Car,Medsize
RU83859,California,No,Premium,Bachelor or College,Other status,Suburban,Married,Personal,Offer1,Call Center,Normal Car,Small
FG63582,Oregon,No,Extended,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Small
NN71951,California,No,Basic,High School or Below,Employed,Rural,Married,Personal,Offer1,Agent,Medium-Class Car,Medsize
WB37082,Arizona,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer3,Branch,Normal Car,Large
SM52139,Washington,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer3,Web,Normal Car,Medsize
FL82372,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Divorced,Corporate,Offer1,Agent,Medium-Class Car,Medsize
DP45816,Arizona,No,Extended,High School or Below,Employed,Urban,Married,Personal,Offer4,Branch,Normal Car,Small
GW33762,Oregon,Yes,Extended,Bachelor or College,Unemployed,Suburban,Divorced,Personal,Offer1,Call Center,Normal Car,Large
RZ33670,California,No,Premium,Bachelor or College,Other status,Suburban,Married,Personal,Offer3,Web,Normal Car,Medsize
PY70169,Oregon,No,Basic,High School or Below,Employed,Rural,Divorced,Personal,Offer4,Agent,Medium-Class Car,Medsize
MO91628,Oregon,No,Basic,Doctor or Master,Employed,Rural,Married,Personal,Offer2,Web,Normal Car,Large
HW87852,Oregon,No,Basic,Doctor or Master,Other status,Suburban,Married,Personal,Offer1,Agent,Normal Car,Medsize
HB20453,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Medium-Class Car,Medsize
BN87372,Oregon,Yes,Basic,Bachelor or College,Employed,Suburban,Divorced,Personal,Offer2,Branch,Normal Car,Medsize
YX23800,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Branch,Normal Car,Small
DZ87709,Oregon,No,Basic,High School or Below,Employed,Rural,Single,Personal,Offer2,Call Center,Normal Car,Medsize
XW13033,Nevada,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Agent,Normal Car,Medsize
LN31673,Washington,No,Extended,Bachelor or College,Employed,Rural,Married,Personal,Offer1,Agent,Normal Car,Medsize
OM82309,California,No,Basic,Bachelor or College,Employed,Rural,Single,Personal,Offer2,Branch,Luxury Car,Small
ZU35962,California,No,Extended,Bachelor or College,Unemployed,Rural,Single,Personal,Offer3,Branch,Normal Car,Large
VH85817,California,Yes,Basic,High School or Below,Employed,Suburban,Single,Personal,Offer2,Call Center,Normal Car,Medsize
DT85712,California,No,Basic,Doctor or Master,Employed,Suburban,Married,Personal,Offer3,Branch,Medium-Class Car,Medsize
YJ88573,Nevada,No,Basic,Doctor or Master,Employed,Suburban,Married,Personal,Offer2,Call Center,Normal Car,Large
SQ19467,Oregon,No,Extended,Bachelor or College,Other status,Suburban,Single,Personal,Offer2,Agent,Normal Car,Small
HF88410,Washington,No,Basic,High School or Below,Employed,Suburban,Married,Personal,Offer1,Call Center,Normal Car,Medsize
ET79815,California,Yes,Extended,Bachelor or College,Other status,Suburban,Married,Personal,Offer1,Agent,Normal Car,Medsize
QC35222,California,No,Basic,Bachelor or College,Employed,Urban,Married,Corporate,Offer3,Web,Normal Car,Medsize
CJ15590,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Divorced,Personal,Offer3,Branch,Normal Car,Medsize
OI48267,California,Yes,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Branch,Normal Car,Medsize
JY67916,Oregon,No,Premium,Bachelor or College,Other status,Suburban,Married,Personal,Offer2,Branch,Normal Car,Small
OE75231,Washington,Yes,Extended,Bachelor or College,Employed,Suburban,Married,Corporate,Offer2,Call Center,Normal Car,Medsize
CZ33664,Oregon,No,Basic,Bachelor or College,Employed,Rural,Married,Corporate,Offer1,Agent,Normal Car,Medsize
WK30175,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Married,Corporate,Offer1,Branch,Normal Car,Small
ON44465,California,No,Extended,High School or Below,Unemployed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Medsize
TV87155,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Branch,Normal Car,Large
KH48895,Arizona,No,Basic,Doctor or Master,Other status,Rural,Married,Personal,Offer1,Branch,Medium-Class Car,Medsize
NZ30757,California,No,Basic,Bachelor or College,Other status,Suburban,Married,Personal,Offer1,Agent,Normal Car,Medsize
RI22468,Arizona,No,Basic,Bachelor or College,Employed,Urban,Married,Personal,Offer3,Web,Normal Car,Medsize
FZ30935,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Agent,Normal Car,Small
UG93476,California,Yes,Basic,Bachelor or College,Unemployed,Suburban,Married,Personal,Offer1,Agent,Medium-Class Car,Medsize
AB96670,California,Yes,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Branch,Normal Car,Medsize
XK64261,Oregon,No,Basic,Bachelor or College,Employed,Rural,Single,Corporate,Offer3,Call Center,Normal Car,Medsize
EV68375,California,Yes,Premium,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Branch,Normal Car,Medsize
UN51653,California,No,Extended,High School or Below,Unemployed,Suburban,Single,Personal,Offer1,Web,Medium-Class Car,Medsize
TO96662,Oregon,No,Extended,Bachelor or College,Employed,Rural,Married,Personal,Offer1,Call Center,Normal Car,Small
MR52087,California,No,Basic,Bachelor or College,Employed,Rural,Married,Personal,Offer3,Branch,Normal Car,Medsize
DE75225,Oregon,No,Basic,High School or Below,Unemployed,Suburban,Married,Personal,Offer1,Agent,Medium-Class Car,Medsize
EP80820,California,No,Basic,Bachelor or College,Employed,Rural,Married,Personal,Offer1,Agent,Normal Car,Medsize
GU99037,Oregon,No,Basic,Bachelor or College,Employed,Urban,Married,Corporate,Offer4,Agent,Normal Car,Medsize
WI57118,California,No,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer4,Agent,Normal Car,Small
YQ74870,Washington,No,Extended,High School or Below,Employed,Suburban,Divorced,Corporate,Offer2,Web,Normal Car,Small
MQ14219,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Branch,Medium-Class Car,Medsize
KN20603,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Medsize
CR48975,Washington,No,Basic,High School or Below,Employed,Suburban,Married,Personal,Offer4,Branch,Normal Car,Medsize
JI70886,California,No,Basic,High School or Below,Unemployed,Suburban,Married,Corporate,Offer1,Agent,Medium-Class Car,Medsize
VF72557,Oregon,Yes,Extended,High School or Below,Other status,Suburban,Divorced,Personal,Offer2,Agent,Medium-Class Car,Medsize
OX28638,Arizona,No,Extended,High School or Below,Employed,Suburban,Married,Personal,Offer2,Branch,Normal Car,Medsize
SK55033,California,No,Basic,Bachelor or College,Employed,Suburban,Single,Personal,Offer3,Agent,Normal Car,Medsize
OO88645,California,No,Extended,Bachelor or College,Employed,Urban,Married,Corporate,Offer2,Call Center,Normal Car,Medsize
YT36855,Washington,No,Extended,Bachelor or College,Unemployed,Suburban,Married,Personal,Offer3,Web,Normal Car,Medsize
CW82151,California,No,Basic,Bachelor or College,Employed,Rural,Married,Personal,Offer1,Call Center,Medium-Class Car,Medsize
DY22043,Oregon,No,Basic,High School or Below,Employed,Suburban,Married,Personal,Offer3,Branch,Normal Car,Small
SH36774,California,No,Basic,High School or Below,Employed,Suburban,Single,Personal,Offer3,Web,Luxury Car,Medsize
EM43724,Nevada,No,Basic,Bachelor or College,Employed,Rural,Married,Personal,Offer1,Agent,Normal Car,Medsize
FH85960,Oregon,No,Premium,Bachelor or College,Employed,Suburban,Divorced,Personal,Offer1,Call Center,Normal Car,Medsize
XA55993,Oregon,No,Extended,Doctor or Master,Employed,Rural,Single,Personal,Offer2,Branch,Normal Car,Medsize
GO36627,Arizona,No,Extended,Bachelor or College,Employed,Urban,Married,Special,Offer1,Branch,Normal Car,Medsize
QH48047,Oregon,Yes,Basic,Bachelor or College,Other status,Suburban,Divorced,Personal,Offer2,Web,Normal Car,Medsize
RB50392,Washington,No,Basic,Doctor or Master,Unemployed,Rural,Married,Personal,Offer2,Agent,Normal Car,Medsize
UH65059,Arizona,No,Basic,High School or Below,Employed,Suburban,Married,Personal,Offer1,Agent,Medium-Class Car,Medsize
FV21968,Nevada,No,Basic,Bachelor or College,Employed,Rural,Married,Special,Offer1,Branch,Normal Car,Medsize
QA87025,Oregon,No,Basic,Bachelor or College,Employed,Urban,Married,Personal,Offer1,Call Center,Normal Car,Medsize
TQ13499,Arizona,No,Premium,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Agent,Normal Car,Small
BU44523,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Single,Corporate,Offer1,Web,Normal Car,Small
MS41162,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Single,Personal,Offer1,Agent,Medium-Class Car,Medsize
PU25891,Oregon,No,Basic,High School or Below,Employed,Rural,Married,Special,Offer1,Branch,Medium-Class Car,Medsize
RB81636,Washington,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer2,Agent,Normal Car,Small
SX26335,Oregon,No,Extended,Bachelor or College,Employed,Urban,Married,Personal,Offer4,Branch,Normal Car,Medsize
AZ95587,Arizona,No,Extended,Bachelor or College,Employed,Urban,Single,Special,Offer3,Branch,Normal Car,Small
DS81757,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer4,Web,Normal Car,Large
OJ94107,Arizona,No,Premium,Doctor or Master,Employed,Urban,Married,Personal,Offer1,Call Center,Medium-Class Car,Medsize
LP84436,California,No,Extended,High School or Below,Unemployed,Suburban,Single,Personal,Offer3,Branch,Medium-Class Car,Medsize
YV64727,Washington,No,Premium,High School or Below,Employed,Suburban,Married,Corporate,Offer3,Agent,Medium-Class Car,Medsize
LM19287,Oregon,Yes,Extended,High School or Below,Unemployed,Suburban,Married,Personal,Offer1,Agent,Normal Car,Large
ZU18643,Nevada,No,Extended,Bachelor or College,Employed,Urban,Married,Corporate,Offer4,Web,Normal Car,Medsize
AZ82578,California,No,Basic,Bachelor or College,Unemployed,Suburban,Married,Corporate,Offer1,Call Center,Normal Car,Medsize
XC67861,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Divorced,Corporate,Offer1,Call Center,Normal Car,Medsize
YC43143,Arizona,No,Extended,High School or Below,Employed,Rural,Married,Personal,Offer2,Web,Normal Car,Medsize
EK59571,Oregon,Yes,Premium,Bachelor or College,Unemployed,Suburban,Married,Corporate,Offer1,Branch,Normal Car,Large
GD83998,Washington,No,Basic,Bachelor or College,Employed,Suburban,Single,Personal,Offer4,Branch,Normal Car,Small
WA25797,Washington,Yes,Basic,High School or Below,Employed,Rural,Married,Personal,Offer2,Agent,Medium-Class Car,Medsize
PD27940,Arizona,No,Extended,High School or Below,Other status,Suburban,Married,Personal,Offer4,Agent,Medium-Class Car,Medsize
BS77946,Arizona,No,Extended,Bachelor or College,Other status,Rural,Married,Personal,Offer1,Branch,Medium-Class Car,Medsize
YM50253,California,No,Basic,Bachelor or College,Employed,Urban,Single,Personal,Offer2,Branch,Normal Car,Medsize
NR15332,California,No,Basic,High School or Below,Employed,Suburban,Married,Personal,Offer2,Web,Normal Car,Small
RC62865,Oregon,No,Extended,Bachelor or College,Employed,Rural,Single,Personal,Offer3,Agent,Normal Car,Medsize
CC15295,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Agent,Normal Car,Small
KA61892,Arizona,Yes,Basic,Bachelor or College,Other status,Suburban,Married,Personal,Offer2,Agent,Medium-Class Car,Medsize
OS94884,Arizona,No,Basic,Bachelor or College,Employed,Rural,Married,Personal,Offer1,Web,Normal Car,Large
ND87334,California,No,Basic,High School or Below,Unemployed,Suburban,Married,Corporate,Offer2,Agent,Normal Car,Medsize
ML93326,Washington,No,Basic,Bachelor or College,Employed,Urban,Married,Personal,Offer1,Agent,Medium-Class Car,Medsize
YL74911,California,Yes,Basic,Bachelor or College,Unemployed,Suburban,Divorced,Personal,Offer1,Agent,Medium-Class Car,Medsize
JP69864,Washington,Yes,Basic,Bachelor or College,Other status,Suburban,Single,Personal,Offer1,Branch,Normal Car,Medsize
HL53154,California,No,Extended,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Medsize
RI78966,Oregon,No,Basic,Doctor or Master,Other status,Suburban,Married,Personal,Offer1,Agent,Normal Car,Small
IC13702,California,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Small
BE10809,California,Yes,Basic,High School or Below,Unemployed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Small
HT87217,Oregon,No,Extended,High School or Below,Employed,Urban,Divorced,Personal,Offer3,Agent,Normal Car,Medsize
TH95618,California,No,Basic,High School or Below,Unemployed,Suburban,Married,Personal,Offer1,Agent,Normal Car,Medsize
TS19868,California,No,Basic,Bachelor or College,Other status,Suburban,Married,Personal,Offer4,Branch,Normal Car,Medsize
LP45550,Oregon,No,Premium,Doctor or Master,Other status,Urban,Divorced,Personal,Offer2,Agent,Normal Car,Medsize
QR87004,Nevada,No,Basic,Bachelor or College,Employed,Rural,Divorced,Personal,Offer3,Agent,Normal Car,Medsize
OE75747,Nevada,No,Basic,Bachelor or College,Unemployed,Suburban,Married,Personal,Offer3,Agent,Normal Car,Small
DX91392,California,Yes,Basic,High School or Below,Employed,Suburban,Single,Personal,Offer2,Call Center,Normal Car,Medsize
AB72731,California,No,Basic,Bachelor or College,Employed,Rural,Married,Personal,Offer2,Call Center,Medium-Class Car,Medsize
RU49126,Washington,No,Basic,Bachelor or College,Employed,Rural,Married,Personal,Offer2,Agent,Medium-Class Car,Medsize
IS12901,Arizona,No,Basic,Bachelor or College,Employed,Urban,Married,Personal,Offer2,Call Center,Normal Car,Medsize
IX37561,Washington,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer3,Web,Normal Car,Medsize
HH90090,California,No,Basic,Bachelor or College,Employed,Suburban,Divorced,Personal,Offer2,Call Center,Medium-Class Car,Small
IU25463,California,No,Premium,Bachelor or College,Unemployed,Suburban,Married,Personal,Offer1,Agent,Normal Car,Medsize
KC11055,Nevada,No,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer3,Branch,Luxury Car,Medsize
PD33979,Oregon,No,Basic,High School or Below,Employed,Suburban,Married,Personal,Offer2,Branch,Normal Car,Large
NK71023,Nevada,No,Extended,Bachelor or College,Employed,Suburban,Single,Personal,Offer4,Agent,Normal Car,Small
AB13432,California,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Medium-Class Car,Medsize
OZ97704,California,No,Basic,High School or Below,Employed,Suburban,Single,Personal,Offer3,Call Center,Medium-Class Car,Small
UF46533,California,No,Basic,Bachelor or College,Employed,Suburban,Single,Corporate,Offer2,Branch,Medium-Class Car,Medsize
XP47431,Arizona,Yes,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Agent,Medium-Class Car,Medsize
GK73582,California,No,Extended,Bachelor or College,Employed,Urban,Single,Personal,Offer3,Branch,Normal Car,Medsize
RV98763,Oregon,No,Extended,Bachelor or College,Employed,Urban,Married,Personal,Offer3,Branch,Normal Car,Medsize
II62831,California,No,Basic,Doctor or Master,Employed,Urban,Married,Special,Offer4,Web,Medium-Class Car,Medsize
XK33449,California,No,Basic,High School or Below,Unemployed,Suburban,Single,Special,Offer4,Branch,Normal Car,Small
TR85083,California,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Branch,Normal Car,Medsize
EO95328,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer4,Agent,Normal Car,Small
EN21086,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Divorced,Personal,Offer1,Branch,Normal Car,Small
YL83902,Washington,No,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Agent,Normal Car,Small
AZ62651,Oregon,No,Premium,High School or Below,Employed,Suburban,Single,Corporate,Offer4,Web,Luxury Car,Medsize
ZW25874,Oregon,No,Basic,Bachelor or College,Employed,Rural,Single,Special,Offer1,Branch,Normal Car,Medsize
EH41854,Washington,No,Extended,High School or Below,Unemployed,Suburban,Single,Personal,Offer3,Branch,Normal Car,Medsize
MW70227,California,Yes,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Branch,Normal Car,Medsize
SL22297,California,No,Premium,Doctor or Master,Other status,Suburban,Single,Personal,Offer1,Call Center,Medium-Class Car,Medsize
RV14138,Nevada,Yes,Extended,Bachelor or College,Other status,Suburban,Single,Personal,Offer1,Agent,Medium-Class Car,Medsize
UO62808,Arizona,No,Basic,High School or Below,Employed,Suburban,Married,Corporate,Offer2,Call Center,Normal Car,Medsize
ZX64745,California,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Medium-Class Car,Medsize
FL34139,California,No,Basic,High School or Below,Unemployed,Suburban,Single,Personal,Offer1,Call Center,Normal Car,Medsize
TS11219,California,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Medium-Class Car,Medsize
XX12304,California,No,Basic,Bachelor or College,Employed,Urban,Married,Personal,Offer2,Branch,Normal Car,Medsize
SD64087,California,No,Premium,Bachelor or College,Employed,Suburban,Married,Corporate,Offer1,Branch,Medium-Class Car,Small
OY38576,Oregon,No,Basic,High School or Below,Employed,Suburban,Divorced,Corporate,Offer2,Agent,Medium-Class Car,Medsize
BG76355,Washington,No,Extended,Bachelor or College,Employed,Rural,Married,Personal,Offer3,Web,Normal Car,Medsize
IP66913,California,No,Extended,High School or Below,Employed,Suburban,Single,Personal,Offer2,Agent,Normal Car,Small
LE95702,California,Yes,Basic,Bachelor or College,Other status,Suburban,Single,Special,Offer1,Agent,Normal Car,Medsize
KX54357,Washington,No,Extended,Bachelor or College,Employed,Urban,Married,Corporate,Offer2,Web,Normal Car,Small
EZ78112,California,No,Basic,High School or Below,Employed,Urban,Single,Special,Offer1,Agent,Normal Car,Medsize
XN16891,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Divorced,Personal,Offer4,Agent,Normal Car,Small
XK31350,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Married,Corporate,Offer4,Call Center,Normal Car,Large
CC30924,Oregon,No,Premium,Bachelor or College,Employed,Urban,Married,Corporate,Offer4,Agent,Medium-Class Car,Small
IT78748,Oregon,Yes,Extended,High School or Below,Other status,Suburban,Married,Special,Offer1,Agent,Normal Car,Small
KY33386,Washington,Yes,Basic,High School or Below,Unemployed,Suburban,Divorced,Personal,Offer1,Web,Medium-Class Car,Medsize
CO44221,California,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Branch,Normal Car,Medsize
LK60013,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer3,Branch,Normal Car,Medsize
DE21533,California,No,Basic,Bachelor or College,Employed,Suburban,Divorced,Personal,Offer1,Call Center,Normal Car,Medsize
YS94121,Nevada,No,Basic,High School or Below,Employed,Suburban,Divorced,Personal,Offer1,Call Center,Normal Car,Small
UK68427,Washington,Yes,Extended,High School or Below,Employed,Suburban,Single,Personal,Offer2,Branch,Normal Car,Small
TE49565,Oregon,No,Basic,Bachelor or College,Other status,Suburban,Married,Personal,Offer2,Call Center,Medium-Class Car,Small
RA88421,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Married,Personal,Offer3,Branch,Normal Car,Medsize
KQ51983,Nevada,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Branch,Normal Car,Medsize
CD88896,Nevada,Yes,Basic,High School or Below,Employed,Rural,Single,Corporate,Offer2,Agent,Normal Car,Medsize
YV22553,Arizona,No,Basic,High School or Below,Employed,Urban,Married,Corporate,Offer1,Agent,Medium-Class Car,Small
WU14435,California,No,Basic,Bachelor or College,Other status,Suburban,Married,Corporate,Offer1,Agent,Normal Car,Small
XV84099,Arizona,Yes,Basic,Bachelor or College,Unemployed,Suburban,Married,Corporate,Offer1,Call Center,Normal Car,Medsize
RI24911,Arizona,Yes,Basic,Bachelor or College,Employed,Urban,Single,Personal,Offer2,Agent,Normal Car,Medsize
KO26461,Arizona,No,Extended,High School or Below,Employed,Urban,Married,Personal,Offer1,Agent,Normal Car,Medsize
